date,signal,spy_close_price
20131120,4.396116505,178.47
20131121,4.393203883,179.91
20131122,4.381796117,180.81
20131125,4.362864078,180.63
20131126,4.362378641,180.68
20131127,4.343203883,181.12
20131129,4.391747573,181
20131202,4.402912621,180.53
20131203,4.387135922,179.75
20131204,4.337864078,179.73
20131205,4.323543689,178.94
20131206,4.323058252,180.94
20131209,4.349902913,181.4
20131210,4.336165049,180.75
20131211,4.410194175,178.72
20131212,4.405097087,178.13
20131213,4.406796117,178.11
20131216,4.430339806,179.216
20131217,4.440048544,178.65
20131218,4.4625,181.7
20131219,4.462257282,181.49
20131220,4.461650485,181.56
20131223,4.48276699,182.53
20131224,4.439805825,182.93
20131225,4.439805825,182.93
20131226,4.438956311,183.855
20131227,4.426213592,183.845
20131230,4.453398058,183.82
20131231,4.454368932,184.69
20140101,4.454368932,184.69
20140102,4.457281553,182.885
20140103,4.409830097,182.36
20140107,4.458009709,183.48
20140108,4.482038835,183.52
20140109,4.476213592,183.64
20140110,4.457160194,184.14
20140113,4.47038835,181.685
20140114,4.473300971,183.67
20140115,4.436650485,184.66
20140116,4.341990291,184.42
20140117,4.320631068,183.635
20140121,4.346359223,184.18
20140122,4.30461165,184.3
20140123,4.350242718,182.79
20140124,4.324757282,178.89
20140127,4.227427184,178.01
20140128,4.256917476,179.07
20140129,4.251699029,177.35
20140130,4.30776699,179.23
20140131,4.361165049,178.18
20140203,4.419174757,174.17
20140204,4.416990291,175.385
20140205,4.369174757,175.17
20140206,4.441990291,177.48
20140207,4.466504854,179.68
20140208,4.466504854,179.68
20140209,4.466504854,179.68
20140210,4.44223301,181.98
20140212,4.468446602,182.07
20140213,4.463349515,183.01
20140214,4.488106796,184.02
20140218,4.486407767,184.24
20140219,4.486650485,183.02
20140220,4.510194175,184.1
20140221,4.521601942,183.89
20140224,4.489805825,184.91
20140225,4.552912621,184.84
20140226,4.55,184.85
20140227,4.56,185.82
20140228,4.56,186.29
20140303,4.56,184.98
20140304,4.54,187.58
20140305,4.545631068,187.75
20140306,4.494660194,188.18
20140307,4.482038835,188.26
20140310,4.522572816,188.16
20140311,4.554854369,187.23
20140312,4.530582524,187.28
20140313,4.556966019,185.18
20140314,4.519417476,184.66
20140317,4.500728155,186.33
20140318,4.522087379,187.66
20140319,4.489563107,186.66
20140320,4.480097087,187.747
20140321,4.502184466,186.2
20140324,4.53907767,185.43
20140325,4.569174757,186.31
20140326,4.584466019,184.97
20140327,4.578398058,184.58
20140328,4.524271845,185.49
20140331,4.474271845,187.01
20140401,4.405582524,188.25
20140402,4.445509709,188.88
20140403,4.492718447,188.63
20140404,4.541019417,186.4
20140407,4.440293689,184.34
20140408,4.470873786,185.1
20140409,4.517597087,187.09
20140410,4.524029126,183.155
20140411,4.539805825,181.51
20140414,0.004560437,182.9401
20140415,0.454975728,184.2
20140416,0.455898058,186.125
20140417,4.521601942,186.39
20140421,4.535800971,187.04
20140422,4.557038835,187.89
20140423,4.570631068,187.45
20140424,4.570995146,187.83
20140425,4.564563107,186.29
20140428,4.573300971,186.875
20140429,4.533495146,187.75
20140430,4.560194175,188.31
20140501,4.606432039,188.325
20140502,4.562135922,188.06
20140505,4.555218447,188.42
20140506,4.610679612,186.78
20140507,4.588834951,187.88
20140508,4.548543689,187.675
20140509,4.564320388,187.96
20140512,4.581067961,189.785
20140513,4.552184466,189.96
20140514,4.590533981,189.06
20140515,4.601699029,187.4
20140516,4.620145631,188.05
20140519,4.648543689,188.74
20140520,4.645145631,187.55
20140521,4.669174757,189.13
20140522,4.676699029,189.59
20140523,4.681917476,190.35
20140527,4.67961165,191.52
20140528,4.68907767,191.38
20140529,4.719660194,192.37
20140530,4.74211165,192.68
20140602,4.747572816,192.895
20140603,4.747087379,192.8
20140604,4.731067961,193.19
20140605,4.697572816,194.45
20140606,4.711893204,195.375
20140609,4.715776699,195.58
20140610,4.728883495,195.6
20140611,4.763470874,194.92
20140612,4.768932039,193.54
20140613,4.755825243,194.13
20140616,4.754368932,194.29
20140617,4.725728155,194.83
20140618,4.747087379,196.255
20140619,4.74368932,196.48
20140620,4.752912621,195.94
20140623,4.750485437,195.88
20140624,4.782281553,194.7
20140625,4.787135922,195.58
20140626,4.810679612,195.44
20140627,4.793932039,195.82
20140630,4.784466019,195.72
20140701,4.772087379,197.03
20140702,4.765533981,197.23
20140703,4.763106796,198.2
20140707,4.796116505,197.51
20140708,4.787135922,196.24
20140709,4.804854369,197.12
20140710,4.750242718,196.34
20140711,4.798783981,196.61
20140714,4.789805825,197.6
20140715,4.810679612,197.23
20140716,4.821359223,197.96
20140717,4.821601942,195.71
20140718,4.799029126,197.7099
20140721,4.800970874,197.34
20140722,4.780339806,198.2
20140723,4.781067961,198.64
20140724,4.686650485,198.65
20140725,4.672330097,197.72
20140728,4.706067961,197.8
20140729,4.660436893,196.95
20140730,4.661893204,196.98
20140731,4.636650485,193.09
20140801,4.703762136,192.5
20140804,4.697330097,193.89
20140805,4.690291262,192.01
20140806,4.729126214,192.07
20140807,4.751456311,191.03
20140808,4.750485437,193.24
20140811,4.790291262,193.795
20140812,4.815291262,193.53
20140813,4.82815534,194.84
20140814,4.84223301,195.76
20140815,4.834708738,195.72
20140818,4.859223301,197.36
20140819,4.862378641,198.39
20140820,4.860436893,198.92
20140821,4.85776699,199.5
20140822,4.871601942,199.19
20140825,4.869174757,200.2
20140826,4.866504854,200.33
20140827,4.859468447,200.25
20140828,4.88131068,200.14
20140829,4.86868932,200.71
